DATE,OPEN,MAX,MIN,CLOSE,CLASS,2,42,45,48,68,75,88,139,171,172,179,187,218,221,223,231,237,date.year,date.month,date.day-of-month,date.day-of-week
8/29/16,217.44,218.67,217.4,218.36,0,3.27,0.05,1.4046,1.5284,0.81,19.68,6.29,0.86,-0.09,B,0.45,21.03,87.5642,32.13,-1.1353,186500465725,-1.1287,16,8,29,1
8/30/16,218.26,218.59,217.35,218.0,0,3.3,0.05,1.3882,1.5269,0.82,19.68,6.31,0.85,-0.09,B,0.39,21.02,89.7688,31.72,-1.5474,186321433273,-1.6798,16,8,30,2
8/31/16,217.61,217.75,216.47,217.38,0,3.34,0.05,1.4023,1.5257,0.83,19.63,6.33,0.85,-0.1,B,0.4,20.99,87.1008,30.69,-2.8733,185315982271,-3.2072,16,8,31,3
9/1/16,217.37,217.73,216.03,217.39,0,3.37,0.05,1.4321,1.5238,0.83,19.68,6.62,0.85,-0.11,B,0.38,20.94,83.5947,29.61,-3.0951,184981568408,-3.6299,16,9,1,4
9/2/16,218.39,218.87,217.7,218.37,0,3.4,0.05,1.4369,1.5207,0.77,19.58,6.36,0.84,-0.12,B,0.45,20.89,87.696,29.64,-0.1058,187010967321,-0.1523,16,9,2,5
9/6/16,218.7,219.12,217.86,219.03,0,3.43,0.06,1.4192,1.5183,0.77,19.28,6.77,0.82,-0.13,B,0.47,20.62,90.772,29.94,0.4002,188034980708,1.0047,16,9,6,2
9/7/16,218.84,219.22,218.3,219.01,0,3.46,0.06,1.3693,1.5162,0.77,19.28,6.79,0.82,-0.14,B,0.46,20.56,93.079,30.54,1.124,188545144550,1.2667,16,9,7,3
9/8/16,218.62,218.94,218.15,218.51,0,3.49,0.06,1.3184,1.5137,0.79,19.43,6.73,0.82,-0.15,B,0.4,20.51,93.212,30.83,0.126,188801956183,1.0552,16,9,8,4
9/9/16,216.97,217.03,213.25,213.28,1,3.51,0.06,1.7125,1.5114,0.93,20.43,5.61,0.88,-0.15,B,1.12,20.47,75.7239,28.87,-4.6883,184954757042,-4.1205,16,9,9,5
9/12/16,212.39,216.81,212.31,216.34,0,3.53,0.06,1.9913,1.5074,0.88,19.98,6.22,0.85,-0.15,B,1.29,20.38,71.1885,27.8,-2.2065,187674516896,-0.446,16,9,12,1
